 ID, Name, Parameters, Thread, Context, % Shaders Busy, Clocks
0,glClearBufferfv,( buffer = GL_COLOR; drawbuffer = 0; value = PointerData ),0x65CD,77,,
,eglGetError,( returnVal = 12288 ),0x65CD,77,,
,eglGetError,( returnVal = 12288 ),0x65CD,77,,
,glBufferSubData,( target = GL_UNIFORM_BUFFER; offset = 0; size = 944; data = 0x0 ),0x65CD,77,,
,eglGetError,( returnVal = 12288 ),0x65CD,77,,
,glBindFramebuffer,( target = GL_FRAMEBUFFER; framebuffer = 732 ),0x65CD,77,,
,glReadBuffer,( mode = GL_COLOR_ATTACHMENT0 ),0x65CD,77,,
,glDisable,( cap = GL_SCISSOR_TEST ),0x65CD,77,,
,glDepthMask,( flag = 1 ),0x65CD,77,,
,glStencilMask,( mask = 4294967295 ),0x65CD,77,,
1,glClearBufferfi,( buffer = GL_DEPTH_STENCIL; drawbuffer = 0; depth = 0; stencil = 0 ),0x65CD,77,,
2,glDrawElementsInstanced,( mode = GL_TRIANGLES; count = 420; type = GL_UNSIGNED_SHORT; primcount = 121; indices =          0 ),0x65CD,77,55.72,75721
,glDisable,( cap = GL_BLEND ),0x65CD,77,,
,glColorMask,( red = 0; green = 0; blue = 0; alpha = 0 ),0x65CD,77,,
,glViewport,( x = 0; y = 0; width = 1280; height = 576 ),0x65CD,77,,
,glDepthRangef,( zNear = 0; zFar = 1 ),0x65CD,77,,
,glEnable,( cap = GL_DEPTH_TEST ),0x65CD,77,,
,glUseProgram,( program = 1664 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11334 ),0x65CD,77,,
,glBindSampler,( unit = 0; sampler = 3 ),0x65CD,77,,
,glUniform4fv,( location = 1; count = 5; value = 0x881686328 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 1; value = 0x169156136 ),0x65CD,77,,
,glUniform4fv,( location = 15; count = 2; value = 0x954097496 ),0x65CD,77,,
,glUniform4fv,( location = 17; count = 1; value = 0x169156448 ),0x65CD,77,,
,glBindBuffer,( target = GL_ELEMENT_ARRAY_BUFFER; buffer = 13651 ),0x65CD,77,,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 13654 ),0x65CD,77,,
,glVertexAttribPointer,( indx = 0; size = 4; type = GL_SHORT; normalized = 1; stride = 8; ptr = 0x0 ),0x65CD,77,,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 13652 ),0x65CD,77,,
,glVertexAttribPointer,( indx = 1; size = 4; type = GL_UNSIGNED_BYTE; normalized = 1; stride = 4; ptr = 0x0 ),0x65CD,77,,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 13655 ),0x65CD,77,,
,glVertexAttribPointer,( indx = 3; size = 4; type = GL_UNSIGNED_BYTE; normalized = 1; stride = 4; ptr = 0x0 ),0x65CD,77,,
,glEnableVertexAttribArray,( index = 4 ),0x65CD,77,,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 13653 ),0x65CD,77,,
,glVertexAttribPointer,( indx = 4; size = 2; type = GL_HALF_FLOAT; normalized = 0; stride = 4; ptr = 0x0 ),0x65CD,77,,
,glEnableVertexAttribArray,( index = 8 ),0x65CD,77,,
,glEnableVertexAttribArray,( index = 9 ),0x65CD,77,,
,glEnableVertexAttribArray,( index = 10 ),0x65CD,77,,
,glEnableVertexAttribArray,( index = 11 ),0x65CD,77,,
,glDisableVertexAttribArray,( index = 2 ),0x65CD,77,,
3,glDrawElements,( mode = GL_TRIANGLES; count = 6654; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,64.85,18555
,glColorMask,( red = 1; green = 1; blue = 1; alpha = 1 ),0x65CD,77,,
,glEnable,( cap = GL_CULL_FACE ),0x65CD,77,,
,glCullFace,( mode = GL_BACK ),0x65CD,77,,
,glEnable,( cap = GL_STENCIL_TEST ),0x65CD,77,,
,glStencilFuncSeparate,( face = 1029; func = 519; ref = 0; mask = 255 ),0x65CD,77,,
,glStencilOpSeparate,(; face = 1029 fail = GL_KEEP; zfail = GL_KEEP; zpass = GL_REPLACE ),0x65CD,77,,
,glStencilFuncSeparate,( face = 1028; func = 519; ref = 0; mask = 255 ),0x65CD,77,,
,glStencilOpSeparate,(; face = 1028 fail = GL_KEEP; zfail = GL_KEEP; zpass = GL_REPLACE ),0x65CD,77,,
,glStencilMask,( mask = 255 ),0x65CD,77,,
,glUseProgram,( program = 1665 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11462 ),0x65CD,77,,
,glUniform4fv,( location = 49; count = 12; value = 0x862183000 ),0x65CD,77,,
,glUniform4fv,( location = 48; count = 1; value = 0x169156304 ),0x65CD,77,,
,glUniform4fv,( location = 62; count = 2; value = 0x954097656 ),0x65CD,77,,
,glUniform4fv,( location = 61; count = 1; value = 0x169156640 ),0x65CD,77,,
,glUniform4fv,( location = 4; count = 44; value = 0x334958976 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 4; value = 0x893184504 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156328 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156184 ),0x65CD,77,,
,glUniform4fv,( location = 71; count = 2; value = 0x954097856 ),0x65CD,77,,
,glUniform4fv,( location = 66; count = 5; value = 0x881686152 ),0x65CD,77,,
,glUniform4fv,( location = 73; count = 1; value = 0x169156136 ),0x65CD,77,,
,glBindVertexArray,( array = 1 ),0x65CD,77,,
4,glDrawElements,( mode = GL_TRIANGLES; count = 2802; type = GL_UNSIGNED_SHORT; indices = 0x13308 ),0x65CD,77,44.65,12044
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11465 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156640 ),0x65CD,77,,
,glUniform4fv,( location = 73; count = 1; value = 0x169156616 ),0x65CD,77,,
,glBindVertexArray,( array = 2 ),0x65CD,77,,
5,glDrawElements,( mode = GL_TRIANGLES; count = 2274; type = GL_UNSIGNED_SHORT; indices = 0x18912 ),0x65CD,77,46.13,12331
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11468 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156328 ),0x65CD,77,,
,glUniform4fv,( location = 73; count = 1; value = 0x169156376 ),0x65CD,77,,
,glBindVertexArray,( array = 3 ),0x65CD,77,,
6,glDrawElements,( mode = GL_TRIANGLES; count = 72; type = GL_UNSIGNED_SHORT; indices = 0x288 ),0x65CD,77,13.45,8001
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11180 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156448 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156448 ),0x65CD,77,,
,glUniform4fv,( location = 73; count = 1; value = 0x169156304 ),0x65CD,77,,
,glBindVertexArray,( array = 4 ),0x65CD,77,,
7,glDrawElements,( mode = GL_TRIANGLES; count = 17787; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,83.89,33008
,glUseProgram,( program = 1666 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11486 ),0x65CD,77,,
,glUniform4fv,( location = 49; count = 12; value = 0x862181600 ),0x65CD,77,,
,glUniform4fv,( location = 48; count = 1; value = 0x169156568 ),0x65CD,77,,
,glUniform4fv,( location = 62; count = 2; value = 0x954097976 ),0x65CD,77,,
,glUniform4fv,( location = 61; count = 1; value = 0x169156160 ),0x65CD,77,,
,glUniform4fv,( location = 4; count = 44; value = 0x334949720 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 4; value = 0x893184576 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156352 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156448 ),0x65CD,77,,
,glUniform4fv,( location = 88; count = 2; value = 0x954098136 ),0x65CD,77,,
,glUniform4fv,( location = 83; count = 5; value = 0x881686152 ),0x65CD,77,,
,glBindVertexArray,( array = 5 ),0x65CD,77,,
8,glDrawElements,( mode = GL_TRIANGLES; count = 17985; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,83.4,33199
,glUniform4uiv,( location = 64; count = 1; value = 0x169156232 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156304 ),0x65CD,77,,
,glBindVertexArray,( array = 6 ),0x65CD,77,,
9,glDrawElements,( mode = GL_TRIANGLES; count = 20220; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,88.04,42090
,glUniform4uiv,( location = 64; count = 1; value = 0x169156184 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156088 ),0x65CD,77,,
,glBindVertexArray,( array = 7 ),0x65CD,77,,
10,glDrawElements,( mode = GL_TRIANGLES; count = 22560; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,79.93,31237
,glUniform4uiv,( location = 64; count = 1; value = 0x169156784 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156688 ),0x65CD,77,,
,glBindVertexArray,( array = 8 ),0x65CD,77,,
11,glDrawElementsInstanced,( mode = GL_TRIANGLES; count = 1572; type = GL_UNSIGNED_SHORT; primcount = 4; indices =          0 ),0x65CD,77,56.62,14769
,glUseProgram,( program = 1667 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11430 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE1 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11170 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE2 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11426 ),0x65CD,77,,
